UAB Blazers,UAB,UA,,N Illinois,,
UC Davis Aggies,UC Davis,Adidas,,N Kentucky,,
UC Irvine Anteaters,UC Irvine,Adidas,,Navy,UA,
UC Merced Golden Bobcats,UC Merced Golden,Adidas,,NC A&T,,
UC Riverside Highlanders,UC Riverside,Adidas,,NC Central,,
UCF Knights,UCF,Nike,,NC State,,
UCLA Bruins,UCLA,UA,,NE Illinois,,
UConn Huskies,UConn,Nike,,NE Omaha,,
UIC Flames,UIC,Adidas,,Nebraska,Adidas,
UMass Minutemen and Minutewomen,Umass,Adidas,,Nevada,Nike,
UMBC Retrievers,UMBC,UA,,New Hampshire,,
UNC Asheville Bulldogs,UNC Asheville,Adidas,,New Mexico,,
UNCW Seahawks,UNCW,Adidas,,New Mexico St,UA,
UNLV Rebels,UNLV,Nike,,New Orleans,,
USC Trojans,USC,Nike,,Niagara,,
Utah Utes,Utah,UA,,Nicholls St,Adidas,
Utah St Aggies,Utah St,Nike,,NJIT,Adidas,
Utah Valley Wolverines,Utah Valley,Adidas,,Norfolk St,,
UTEP Miners,UTEP,Nike,,North Carolina,Nike,
UTSA Roadrunners,UTSA,Adidas,,North Dakota,,
Valparaiso Crusaders,Valparaiso,Nike,,North Florida,,
Vanderbilt Commodores,Vanderbilt,Nike,,North Texas,,
Vermont Catamounts,Vermont,Adidas,,Northeastern,,
Villanova Wildcats,Villanova,Nike,,Northern Arizona,,
Virginia Cavaliers,Virginia,Nike,,Northern Iowa,Nike,
Virginia Tech Hokies,Virginia Tech,Nike,,Northwestern,UA,
VMI Keydets,VMI,UA,,Northwestern LA,,
Wake ForeSt Demon Deacons,Wake ForeSt,Nike,,Notre Dame,UA,
Washington Huskies,Washington,Nike,,Oakland,,
Washington St Cougars,Washington St,Nike,,Ohio,,
Weber St Wildcats,Weber St,Adidas,,Ohio St,Nike,
WeSt Alabama Tigers,WeSt Alabama,Adidas,,Okla City,,
WeSt CheSter Golden Rams,WeSt CheSter,Adidas,,Oklahoma,Nike,
WeSt Virginia Mountaineers,WeSt Virginia,Nike,,Oklahoma St,Nike,
WeStern Carolina Catamounts,WeStern Carolina,Adidas,,Old Dominion,UA,
WeStern Michigan Broncos,WeStern Michigan,Adidas,,Oral Roberts,,
Whittier Poets,Whittier,UA,,Oregon,Nike,
Wichita St Shockers,Wichita St,UA,,Oregon St,Nike,
Winthrop Eagles,Winthrop,Adidas,,Pacific,,
Wisconsin Badgers,Wisconsin,UA,,Penn,,
WKU Hilltoppers and Lady Toppers (Starting in 2017),WKU,Nike,,Penn St,Nike,
Wofford Terriers,Wofford,Adidas,,Pepperdine,,
Yale Bulldogs,Yale,UA,,Pittsburgh,,
,,,,Portland,,
,,,,Portland St,Nike,
,,,,Prairie View,,
,,,,Presbyterian,Adidas,
,,,,Princeton,,
,,,,Providence,Nike,
,,,,Purdue,Nike,
,,,,Quinnipiac,Adidas,
,,,,Radford,,
,,,,Rhode Island,Adidas,
,,,,Rice,Adidas,
,,,,Richmond,,
,,,,Rider,Adidas,
,,,,Robert Morris,,
,,,,Rutgers,,
,,,,S Carolina St,,
,,,,S Dakota St,,
,,,,S Illinois,,
,,,,Sacred Heart,Adidas,
,,,,Sam Houston St,,
,,,,Samford,,
,,,,San Diego,Nike,
,,,,San Diego St,Nike,
,,,,San Francisco,Nike,
,,,,San Jose St,,
,,,,UC Santa Barbara,,
,,,,Santa Clara,,
,,,,Savannah St,,
,,,,SC Upstate,,
,,,,SE Louisiana,,
,,,,SE Missouri St,,
,,,,Seattle,,
,,,,Seton Hall,UA,
,,,,SF Austin,,
,,,,Siena,,
,,,,SMU,,
,,,,South Alabama,,
,,,,South Carolina,UA,
,,,,South Dakota,Adidas,
,,,,South Florida,UA,
,,,,Southern Miss,Nike,
,,,,Southern Univ,,
,,,,Southern Utah,Adidas,
,,,,St Bonaventure,,
,,,,St Francis NY,,
,,,,St Francis PA,,
,,,,St John's,,
,,,,St Joseph's PA,,
,,,,St Louis,,
,,,,St Mary's CA,,
,,,,St Peter's,,
,,,,Stanford,Nike,
,,,,Stetson,,
,,,,Stony Brook,,
,,,,Syracuse,Nike,
,,,,TAM C. Christi,,
,,,,TCU,,
,,,,Temple,UA,
,,,,Tennessee,Nike,
,,,,Tennessee St,,
,,,,Tennessee Tech,,
,,,,Texas,Nike,
,,,,Texas A&M,Adidas,
,,,,Texas St,Adidas,
,,,,Texas Tech,UA,
,,,,TN Martin,,
,,,,Toledo,Nike,
,,,,Towson,UA,
,,,,Troy,Adidas,
,,,,Tulane,,
,,,,Tulsa,,
,,,,UTRGV,,
,,,,TX Southern,,
,,,,UAB,UA,
,,,,UC Davis,Adidas,
,,,,UC Irvine,Adidas,
,,,,UC Riverside,Adidas,
,,,,UCF,Nike,
,,,,UCLA,UA,
,,,,Louisiana,,
,,,,ULM,,
,,,,UMBC,UA,
,,,,UNC Asheville,Adidas,
,,,,UNC Greensboro,,
,,,,UNC Wilmington,,
,,,,UNLV,Nike,
,,,,USC,Nike,
,,,,UT Arlington,,
,,,,UT San Antonio,,
,,,,Utah,UA,
,,,,Utah St,Nike,
,,,,Utah Valley,Adidas,
,,,,UTEP,Nike,
,,,,Utica,,
,,,,VCU,,
,,,,Valparaiso,Nike,
,,,,Vanderbilt,Nike,
,,,,Vermont,Adidas,
,,,,Villanova,Nike,
,,,,Virginia,Nike,
,,,,Virginia Tech,Nike,
,,,,VMI,UA,
,,,,W Carolina,,
,,,,W Illinois,,
,,,,WKU,Nike,
,,,,W Michigan,,
,,,,W Salem St,,
,,,,W Texas A&M,,
,,,,Wagner,,
,,,,Wake Forest,Nike,
,,,,Washington,Nike,
,,,,Washington St,Nike,
,,,,Weber St,Adidas,
,,,,West Virginia,Nike,
,,,,WI Green Bay,,
,,,,WI Milwaukee,,
,,,,Wichita St,UA,
,,,,William & Mary,,
,,,,Winthrop,Adidas,
,,,,Wisconsin,UA,
,,,,Wofford,Adidas,
,,,,Wright St,,
,,,,Wyoming,,
,,,,Xavier,,
,,,,Yale,UA,
,,,,Youngstown St,,
,,,,Cal Baptist,,
,,,,North Alabama,,
,,,,Merrimack,,
